"8 SIDOR","15759997"
"SÖNDAGSPOSTEN (GÖTEBORG : 1881)","6ld6bbvz4wkxrbc4"
"SÖNDAGSPOSTEN (STOCKHOLM : 1872)","bnwdj1588bb7f28r"
"SÖNDAGSPOSTEN (STOCKHOLM : 1886)","s2f0p290qbt03t7p"
"SÖNDAGSTIDNINGEN (MALMÖ : 1891)","0c9stk4kx4kqctk7"
"SÖNDAGSTIDNINGEN (STOCKHOLM : 1847)","fpzgwjb2cz1f23k7"
"SÖRMLANDSBYGDEN","15761710"
"SÖRMLANDSKURIREN","0f58dbzfxxqv0r2p"
"SÖRMLANDSPOSTEN","4kj08k1f22rkn4hg"
"SÖRMLÄNNINGEN (ESKILSTUNA : 1892)","7lj114d95njw7sqv"
"SÖRMLÄNNINGEN (NYKÖPING: 1883-)","3gdx2x7617dt2vr8"
"TTELA","15873571"
"TELEFON, TIDNING FÖR ALLVAR OCH SKÄMT","ktwch2f8hm9qbnd6"
"TELEGRAFEN (GÖTEBORG : 1825), LITTERÄR COMMERCIEL EKONOMISK OCH POLITIK TIDNING","p1vr59vbmfhsnjfw"
"TELEGRAFEN (HELSINGBORG : 1835)","22651592"
"TELEGRAFEN FRÅN TROLLHÄTTAN","08szfbs7xkl3tccx"
"TELEGRAFEN I WEXJÖ","grrlnmh9d6xh6cr1"
"TEMPUS","15761769"
"TENSTADIREKT","3df8r1kf15pvvnzj"
"THE REPORT OF ST. BARTHOLOMEW","m3x1x858krz3jn00"
"THOR","8j2g1xz66b4g0crf"
"THORGNY","4gq4smlt276lb4rq"
"TIDAHOLMS TIDNING","bl4j33zp8zchw7kp"
"TIDAHOLMSPOSTEN","dn6l582lbvbvpf2v"
"TIDEN (LUND : 1874)","nxszwlr8lj69cwkj"
"TIDEN (STOCKHOLM : 1847)","gs1jn7sqdk9cpdhb"
"TIDEN (STOCKHOLM : 1858)","9k3h37x27d41jd9p"
"TIDEN (STOCKHOLM : 1883), SVERGES BILLIGASTE DAGLIGA TIDNING / UTGIFEN AF K.P. ARNOLDSON","w5p3pzkvt5ld3sq2"
"TIDERNA","q1kr003fnrgfmkbt"
"TIDNING FÖR FALU LÄN OCH STAD","gsmj8w3cdg0tkh20"
"TIDNING FÖR GEFLE STAD OCH LÄN","dq0d3q21bm179t9x"
"TIDNING FÖR HEDEMORA SÄTER OCH AVESTA ELLER SÖDRA DALARNES VECKOBLAD","t3nvscbtr8nj17w9"
"TIDNING FÖR LINDESBERGS STAD","pzt0zw5zmj9p822t"
"TIDNING FÖR SKANDINAVIEN","gs2g5vs7dkxjc711"
"TIDNING FÖR SKARABORGS LÄN","22687684"
"TIDNING FÖR STOCKHOLMS LÄN","bqvdp96n816bc4l4"
"TIDNING FÖR SVENSKA LANDTBRUKSMÖTET","hrbjg4pjf5thnc3p"
"TIDNING FÖR SVERIGES MINUTHANDLARE","hrbjg7gsf3dt4g5z"
"TIDNING FÖR SWERIGES ALLMOGE","z7tzzk9twtm88hmk"
"TIDNING FÖR SÖDERMANLAND","5fsz2wl83qlbp1w6"
"TIDNING FÖR WENERSBORGS STAD OCH LÄN","11653830"
"TIDNING FÖR WENERSBORGS STAD OCH LÄN LANDSBYGDSUPPLAGAN","r6cfbrk2pf16j5w5"
"TIDNING FÖR WESTER- OCH NORRBOTTENS LÄN","v4qvvj8vsg154csk"
"TIDNING FÖR ALLA","pzhwhthkmwmxb61c"
"TIDNING FÖR HANDEL, SJÖFART OCH NÄRINGAR","lw7h7dbdjmcdpqdd"
"TIDNING FÖR HÄSTVÄNNER","9qk9jkg97cg83fs8"
"TIDNING FÖR IDROTT","v9wpjvsssgssqq16"
"TIDNING FÖR LÄRARINNOR","p4sffxrzm1kg42vz"
"TIDNING FÖR STORA KOPPARBERGS LÄN","22545969"
"TIDNING FÖR TEATER OCH MUSIK","gwmvv48hdcvtk2vm"
"TIDNING FÖR UNGDOM","t3hg7nb4rqx6qx0m"
"TIDNING FÖR ÅMÅLS STAD OCH DALSLAND (1847)","t44z17lfr4dn935r"
"TIDNING FÖR ÅMÅLS STAD OCH DALSLAND (1879)","2bw31vbp04jswc0z"
"TIDNINGAR UTGIFNE AF ET SÄLLSKAP I ÅBO","v6f58nv9st1nbnz1"
"TIDNINGEN CENTRUM","15761784"
"TIDNINGEN FARSTA SKÖNDAL","17644185"
"TIDNINGEN HAMMARBY SKARPNÄCK","17644634"
"TIDNINGEN HISINGEN","15761787"
"TIDNINGEN LILJEHOLMEN ÄLVSJÖ","15761789"
"TIDNINGEN NORDOST","15761791"
"TIDNINGEN VÄSTER","15761795"
"TIDNINGEN VÄSTSVERIGE","15871803"
"TIDNINGEN GRÄNSEN","6g1752lh48xndg31"
"TIDNINGEN SYDVÄST","15761793"
"TIDNINGEN ÅNGERMANLAND","15871851"
"TIDNINGEN ÅRSTA ENSKEDE","15871868"
"TIDNINGEN ÖSTER","15871879"
"TIDSKRIFT FÖR HEMMET (STOCKHOLM. 1859), TILLEGNAD NORDENS QVINNOR","gwk67n0dd9336s1l"
"TIDSKRIFT FÖR SVENSKA NÄRINGARNE","5p1v4ssf3dbwcwv8"
"TIERPSPOSTEN","2hbrxhm40t182twx"
"TJENSTEBLADET","4dz542192jckf45s"
"TJUSTS TIDNING","jwv6t8fngw67w1bt"
"TOMELILLA TIDNING","lvfmlnz0j61wld3s"
"TOMTEBISSEN","9kjnh7f07k37j81w"
"TORSHÄLLA VECKOBLAD","bl5cbrdk890069l1"
"TORSLANDA TIDNINGEN","15871900"
"TOTALT UMEÅ","15874893"
"TRANÅS TIDNING (LINKÖPING : 1875-)","6g176qbp4wm08kf8"
"TRANÅS TIDNING (SKÄNNINGE : 1879-)","5f065q2q37w7mcdn"
"TRANÅS TIDNING (TRANÅS : 1892-)","15873467"
"TRANÅSPOSTEN (LINKÖPING : 1898)","w5qxwljft2kfl4wp"
"TRANÅSPOSTEN (TRANÅS : 1992)","15873485"
"TRELLEBORGS ALLEHANDA","15873532"
"TRELLEBORGS ANNONSBLAD","20858608"
"TRELLEBORGS NYHETS- OCH ANNONSTIDNING","t3nvtp05rw7k8rr5"
"TRELLEBORGS TIDNING","19v21tz4z4l6n7jw"
"TRELLEBORGSPOSTEN","2bp8zf490s02szdv"
"TRELLEBORGSTIDNINGEN","20794232"
"TRIBUN, TIDNING FÖR POLITIK LITTERATUR OCH JURIDIK","3cb4b99411czlpp1"
"TRIUMF","x69z990tvq0r4kfg"
"TROLLHÄTTAN","22683554"
"TROLLHÄTTAN 7 DAGAR","16191966"
"TROLLHÄTTANS TIDNING (VÄNERSBORG : 1903)","22683557"
"TROLLHÄTTANS WECKOBLAD","22683563"
"TROSA GNESTA TIDNING","cmhnpnb092krc4pb"
"TROSA NYHETER","s2x33qnqqhtcv536"
"TROSA TIDNING (MARIEFRED : 1880)","3cx441j01svjtgx9"
"TROSATIDNINGEN","pzjqqq34mfdnnfcg"
"TROTS ALLT (STOCKHOLM), KAMPTIDNINGEN FÖR SVENSK OCH MÄNSKLIG POLITIK","m4d44w1zk2tb3g45"
"TRUMF, SVERIGES BILLIGASTE VECKOTIDNING","gqphn0s5dkh33586"
"TRYCK-FRIHETEN DEN WÄLSIGNADE.","r8sr750tp062xzd2"
"TURISTEN, TIDNING FÖR RESANDE","8jhmfppj6cj1t1h1"
"TÄBY NYA","22061180"
"TÄBY NYHETER (2015)","17644660"
"TÄBYDIREKT","5ghbt4zh3f4w409h"
"TÖREBODA TIDNING (1862)","lvfmmpc1jqwhpkwh"
"UDDEVALLA 7 DAGAR","15873736"
"UDDEVALLA TIDNING","6mbrsltm48b7x7ck"
"UDDEVALLA VECKOBLAD, TIDNING FÖR VÄSTRA SVERIGE","k0p451g8h0tz4n1s"
"UDDEVALLAPOSTEN","15873765"
"UDDEVALLATIDNINGEN","q5v9bc2nnm8bjqqg"
"UDDEWALLA WECKOBLAD","gq59p4d5dhzq0xr4"
"ULRICEHAMNS TIDNING","15873779"
"UMEBLADET","19277301"
"UMEÅ NYA TIDNING","x9l9wbgmvx097bkz"
"UMEÅ TIDNING","20011998"
"UMEÅTIDNINGEN","p0bwssxtmk7fw3xr"
"UNGDOMSVÄNNEN, KRISTLIG TIDNING FÖR SVERIGES UNGDOM","hrqvn193fms7nnd2"
"UNGHERRARNES EGEN","4d8fg1n52lgb14wf"
"UPLAND","19827n38zl05wtd6"
"UPLANDSKURIREN, TIDNING FÖR ENKÖPINGS STAD UPLAND OCH VÄSTMANLAND","gtq7p9cld69xlwlg"
"UPLANDSPOSTEN","l1w5km52jkdsjp7m"
"UPPLANDS NYHETER","15873796"
"UPPLANDS-BRODIREKT","p01vcs2sm51vw2mm"
"UPPLANDSBRO-BLADET","19341237"
"UPPLYSNINGSREGISTRET","cqn579mx9ldzxswb"
"UPPSALATIDNINGEN","15873832"
"UPSALA","19277330"
"UPSALA ACADEMIE- OCH STADSTIDNING","6g2660424rtvpfz5"
"UPSALA HYRESLISTA","drp7c13gbbcsz79g"
"UPSALA LÄNS ANNONSBLAD","r41j1psrpsnlwbfr"
"UPSALA LÄNS TIDNING","x97rwmd9vjsjbcj5"
"UPSALA NYA TIDNING","15873880"
"UPSALA STADS OCH LÄNSTIDNING","v4qvwz2msvmr901m"
"UPSALA STADS WECKOTIDNING","bl6bcm828j2hqk8c"
"UPSALA TIDNING","9lbb56gz7r87gt5w"
"UPSALA TIDNINGAR","w7h47djwtg1zt03j"
"UPSALA WECKOBLAD","09zdlzkbxz9t9k74"
"UPSALA WECKOTIDNINGAR","08v01brfx3h96djk"
"UPSALABIET, TIDNING FÖR POLITIK, LITTERATUR OCH EKONOMI","6kh15z7c4r3s0ldz"
"UPSALAPOSTEN","jwrzgc9pgb24nx1r"
"UTKIKEN (LANDSKRONA : 1880)","t64mnwzrrgh0v71w"
"UTKIKEN (STOCKHOLM : 1891)","6gbhk3t74hkknmp0"
"UTLANDETS NYHETER","5kp7g4p43f7k5zrk"
"UTSTÄLLNINGSBLADET, NÖJES-, KOMMUNIKATIONS- OCH RESANDE- TIDNING FÖR NORRKÖPING, SOMMAREN 1906","v75npqx7s5h21bf8"
"VALLENTUNA NYA (2010)","15873902"
"VALLENTUNA NYA (2019)","t4g1r2wtrct07rkf"
"VALLENTUNA NYHETER","17644673"
"VALLENTUNADIREKT","2cd7q9f30tj3tgds"
"VARA TIDNING (LIDKÖPING : 1894)","z8xqmmztwsc14lm1"
"VARBERGS TIDNING (2022)","n379c04ql53hb29v"
"VARBERGSPOSTEN (1894)","q1phdm28n1rnf9nn"
"VARBERGSPOSTEN (1996)","15873919"
"VARIÉTÉ (STOCKHOLM : 1890)","5j951gn7328wkjg1"
"VARIÉTÉ (STOCKHOLM : 1894)","zb3ztbz6wkjlvh4x"
"VASASTANDIREKT","dpqk2n6rb9qbcqwl"
"VECKAN (1891)","s215zg7nqc8rbgb6"
"VECKAN NYHETER (STOCKHOLM : 1893)","n122g89sl4pxptz8"
"VECKO-REVYN","2h2l3g9k0tbzrql1"
"VECKOBLADET (STOCKHOLM : 1882)","6gfkcx184l0pz9jg"
"VECKOPOSTEN","dsv2h0cdb4l8ngcl"
"VECKORAPPORT FRÅN HUVUDSTADEN","4hjjxsn427wsqr95"
"VECKOREVYEN","0cddsqmvxf6xswh7"
"VECKOTIDNINGEN TIDEN","v4pq657xsr9lv6xt"
"VECKOUPPGIFT ANGÅENDE EXECUTIVA ÅTGÄRDER","9npp34jj71qfrl50"
"VECKOUPPGIFT ÖFVER GÖTEBORGS INFÖRSEL OCH UTFÖRSEL","dqzgl90nbbjmh25z"
"VENERSBORGSPOSTEN","hvv2624wfl70q4t0"
"VERDANDISTEN, ORGAN FÖR NYKTERHETS-ORDEN VERDANDI","0dgn4xr8xvchdkbs"
"VERITAS (STOCKHOLM : 1869), KONTROLL TIDNING FÖR IN- OCH UTLÄNDSKA STATS OCH STADS OBLIGATIONER","8jhmf3cb65bpwqdc"
"VERNAMO ALLEHANDA","4f3wt3d22pb842sl"
"VERNAMOPOSTEN (VIMMERBY : 1886)","v5tmkw4gskxlbb80"
"VERNAMOPOSTEN (VÄXJÖ : 1899)","z8xqn2frwk892z7p"
"VESTERBERGSLAGENS TIDNING","8md84tg16223c9gm"
"VESTERGÖTLAND","dp6n7xh4bdqtl9qm"
"VESTERGÖTLANDS ANNONSBLAD","2bx23mpg0k09t7cs"
"VESTERGÖTLANDS DAGBLAD","gtvv8c2wdr4cnxbw"
"VESTERGÖTLANDS NYHETER","r4wrmd03pt1vkzr3"
"VESTERNORRLANDS LÄNS TIDNING","s5wz109nq5vwq534"
"VESTGÖTAKURIREN, VECKOTIDNING FÖR VESTERGÖTLAND","w81wrnjtt7927kvf"
"VESTGÖTEN (BORÅS : 1888)","w88glcpft4n5b5lb"
"VESTGÖTEN (LIDKÖPING : 1887)","2gjtx1q103vghpsg"
"VESTMANLANDS LÄNS TIDNING","15873936"
"VETLANDAPOSTEN","15874017"
"VI I KISTA","18427731"
"VI I RINKEBY","18427726"
"VI I SOLLENTUNA","15874230"
"VI I SOLNA","17644898"
"VI I SUNDBYBERG","17644758"
"VI I TENSTA [ELEKTRONISK RESURS]","18427689"
"VI I VASASTAN","15874234"
"VI I VÄSBY","15874292"
"VI I VÄSBYDIREKT","lwxr8x78jzjcvn90"
"VICTORIA (MARIEFRED : 1882)","lvqw0zxtjrl5mntc"
"VIKEN, TIDNING FÖR UPPLYSNING OCH FRAMÅTSKRIDANDE","3gwtlk8n159x9blk"
"VIKINGEN","p0ngbcq3mmwt7qt0"
"VILDEN","hrmsxmg0fh57xzwp"
"VIMMERBY TIDNING","15874332"
"VIOLA, ANNONSBLAD FÖR TRÄDGÅRDEN","cq53vzh39bzc29c5"
"VISBYPOSTEN","r62bq9fdp7mj980l"
"VÄGVISARE FÖR NORRKÖPING","ktrrsqbqh12fqrmm"
"VÄGVISARE FÖR RESANDE I FALUN","hs6gzx6hfpck31mv"
"VÄGVISARE FÖR RESANDE TILL GÖTEBORG","t4js9blsrvzsb028"
"VÄGVISARE FÖR RESANDE TILL STOCKHOLM (1876)","t4js8mc2rg06bjhq"
"VÄLLINGBY TIDNING","17644686"
"VÄLLINGBYDIREKT","x783lbxkvsxs3t0z"
"VÄNERSBORGAREN","15874383"
"VÄNERSBORGSPOSTEN HALVVECKOUPPLAGAN","6hw5nv7x49zc88r8"
"VÄRLDEN IDAG","15874405"
"VÄRLDENS GÅNG (STOCKHOLM : 1886)","8kz7q6jv6kphqlvp"
"VÄRLDENS GÅNG (STOCKHOLM : 1898)","7jx6p63v51lnmkcw"
"VÄRMLANDS DAGBLAD","7jx6p0vs5l382z3k"
"VÄRMLANDS FOLKBLAD (KARLSTAD : 1906)","xcdk63x7v69hg7d8"
"VÄRMLANDS FOLKBLAD (KARLSTAD : 1918)","15874412"
"VÄRMLANDSBERG","lzz254x0j7qv15kf"
"VÄRMLANDSBYGDEN (2021)","q3fmlv5gnfmfrxbx"
"VÄRNAMO NYHETER","15874417"
"VÄSTBOANDAN","20208244"
"VÄSTERBOTTENS FOLKBLAD","p681dcnpm2c6s7hx"
"VÄSTERBOTTENS MELLANBYGD","15874450"
"VÄSTERBOTTENSKURIREN","15874500"
"VÄSTERBOTTNINGEN (1979)","15874619"
"VÄSTERGÖTLANDS ANNONSBLAD","q56cts6pncdj1vn2"
"VÄSTERNORRLAND","v70vrt4csj25n7zh"
"VÄSTERNORRLANDS ALLEHANDA","cqzgkfc29tvd0bdj"
"VÄSTERNORRLANDS DAGBLAD","1gmpl730zwlx8q16"
"VÄSTERVIKS VECKOBLAD","3dd79vzx1bnbqstf"
"VÄSTERVIKSPOSTEN","gtntpblsdpbnb8wj"
"VÄSTERVIKSTIDNINGEN","15874629"
"VÄSTERÅS TIDNING","15874633"
"VÄSTGÖTA KORRESPONDENTEN SKÖVDE TIDNING","htgj0rsrfv3k631b"
"VÄSTGÖTABLADET","15874638"
"VÄSTMANLANDS NYHETER","15874645"
"VÄSTRA SVERGES LANTMANNATIDNING","fvk0176rclx1phj3"
"VÄSTRA SVERIGE (1895)","wb1gj3bvtp5dzjxh"
"VÄSTRA SVERIGE (1901)","2h6mp5sb09qq9htj"
"VÄSTRA DAGBLADET BORÅSPOSTEN","cs0rczhv94btj7gb"
"VÄSTRA DAGBLADET DALSLANDSPOSTEN","7n1szrtr55fz4pcp"
"VÄSTRA DAGBLADET GÖTEBORGSUPPLAGAN","4krj4vdz26hwj0bg"
"VÄSTRA DAGBLADET SKARABORGSPOSTEN","5lzqwtrv36vh67hk"
"VÄSTRA DAGBLADET TROLLHÄTTEPOSTEN","6mtl61194rkhq1gj"
"VÄSTRA DAGBLADET VÄNERSBORGSPOSTEN","zdlc0x73wxblsxsl"
"VÄXJÖBLADET KRONOBERGAREN","15874651"
"VÅRT KUNGSHOLMEN","15874351"
"VÅRT FOLK","9khhjb017z27x6g5"
"VÅRT LAND (1873)","8jdkpzgp675phv8f"
"VÅRT LAND (STOCKHOLM : 1886)","5kd27klm3n6cgpcl"
"VÅRT LAND WECKUPPLAGA","zc6v1g8zwvskl2vb"
"WADSTENA LÄNS TIDNING","w6vnkdqzt80bcll3"
"WADSTENA TIDNING","hsg8f935f93vd5jh"
"WADSTENA WECKOBLAD","6h5ls8754zg40pdp"
"WADSTENABLADET","t4s7fxm1r6k1bhk1"
"WARA TIDNING (ÖREBRO : 1886)","hsg852ddf8ps2w66"
"WARBERGS TIDNING (1857)","x6sxzbslv6gvbkxl"
"WAXHOLMS TIDNING (1876)","0c40vdqfxpgbs35k"
"WAXHOLMS TIDNING (1897)","fs75xs18c1z55j2r"
"WECKOBLAD FRÅN GEFLE","22552274"
"WECKOBLAD FÖR GEFLEBORGS LÄN","22572783"
"WECKOBLADET (MOTALA : 1888)","dtpzcrk7bt7pkl8k"
"WECKOBLADET (STOCKHOLM : 1832)","fr1f4wf2ch2t16sg"
"WECKOTIDNING","22666428"
"WENERSBORGS ALLEHANDA","5gtrwpmm31c98xj9"
"WENERSBORGS TIDNING","z850jpskwhbz20s4"
"WENERSBORGS TIDNINGAR","w63xgpdktbxxkdm3"
"WENERSBORGS WECKOBLAD","v52wfq9ksfmxz299"
"WENERSBORGS WECKOTIDNING","1b72mz8nz4tbcrw3"
"WENERSBORGSPOSTEN","x92xsf0fvdj56bc4"
"WERDANDI","6gmv8jtg4jppgl1r"
"WERLDS-BORGAREN","8r98rcv86c7tdpnj"
"WERMLANDS ALLEHANDA","gtr89fcjdxwqc4tk"
"WERMLANDS LÄNS TIDNING","11653832"
"WERMLANDS TIDNING","p16k8cl3mx6s0f7q"
"WERMLANDSPOSTEN (KRISTINEHAMN : 1893), KRISTLIGT POLITISK TIDNING FÖR WERMLAND OCH DAL","4ddsdq4l2z06fzw8"
"WERMLANDSKURIREN","p2svxt3zmwjqhb9t"
"WERMLANDSPOSTEN (KARLSTAD : 1853)","ht0c275kfxcsgdd6"
"WERMLANDSTIDNINGEN","19227501"
"WERMLÄNDINGEN","3dwcxgcw1kv28j99"
"WERMLÄNDSKA KORRESPONDENTEN","q27lln0bnj8mnrf7"
"WERNAMO TIDNING","11653834"
"WESTER OCH NORRBOTTENS LÄNS TIDNING","hrchj02bfd62w1z2"
"WESTERBOTTEN","x7q6rd1rv1sg5c62"
"WESTERGÖTLAND ALLEHANDA","dt02zh11bpz4vzqt"
"WESTERGÖTLANDS NYHETER","r4wrmgj9pwq2m890"
"WESTERNORRLANDS LÄNS TIDNING","2f62xwvt0mzz7d4v"
"WESTERÅS ANNONCEBLAD","kvvpr2m2hmvx0bg1"
"WESTERÅS STADS OCH LÄNS TIDNING","s33h93rcqq1zwk84"
"WESTERÅS TIDNING (VÄSTERÅS : 1813)","4ff8bp2v2n277sgw"
"WESTERÅS TIDNING (VÄSTERÅS : 1887)","p2258fffm6rh2xzd"
"WESTERÅS TIDNINGAR","8kkdgw996916t016"
"WESTERÅSPOSTEN","jttnq7t4gj27m8r4"
"WESTGÖTAPOSTEN","t677ns67rkhlhbh5"
"WESTGÖTHA KORRESPONDENTEN","bppsw45v8k7m01xc"
"WESTKUSTEN","fvq0dv6kcmgz3z1n"
"WESTMANLAND","4h79chpb2lnjj65q"
"WESTMANLANDS ALLEHANDA","m0t0wllxkgs96mvx"
"WESTMANLANDS ANNONSBLAD","r4wrn500ppf27bj8"
"WESTMANLÄNNINGEN","9l44gs8t7jgxj94t"
"WEXIÖ TIDNING","p00twzs5mp3c9lrh"
"WEXJÖ LÄNSTIDNING","mxxrtxcfkwgrq7jx"
"WEXJÖBLADET","19277346"
"WIMMERBY TIDNING","0b5zq922x589f12v"
"WIMMERBY WECKOTIDNING","22680451"
"WIMMERBYBLADET","22680457"
"WIMMERBYKURIREN","22680459"
"WIMMERBYPOSTEN (1902)","22680468"
"WIMMERBYS TIDNING","22680476"
"WISBY ARGUS","n0tmc4c5l2wwkhlc"
"WISBY WECKOBLAD (VISBY : 1827)","lwm8zzzgj63lhx98"
"WISBY LÖRDAGSBLAD","grfv17m8d36jvmjm"
"WISBY TIDNING","mxl16b1dkw9b8l98"
"WISBY WECKOBLAD (VISBY : 1823)","jtk6w0xjgqh441p2"
"WÄKTAREN, TIDNING FÖR STAT OCH KYRKA","mxbl2h9sk5g183xn"
"WÄRMLANDS LÄNS ANNONSBLAD","z8nxfslkwm8ghhlp"
"WÄRMLANDSBERG","q1fp7p7jnp0wwf8h"
"WÄSTGÖTAKORRESPONDENTEN WECKOUPPLAGAN","5lms8g1x3wst0dqd"
"WÄSTGÖTHA TIDNINGAR","7hwd40rj59d33dds"
"YSTADS ALLEHANDA","15874668"
"YSTADS NYA TIDNING","3dd795vf1rcw1dwq"
"YSTADS NYHETS- OCH ANNONSBLAD","r2dzvx3fpqm539qr"
"YSTADS TIDNING (1852)","w84btspztlm0lkd6"
"YSTADS-POSTENS VECKOBLAD","w6j304jmtm59t2j0"
"YSTADSPOSTEN","w8pmdl1ctqd6qckl"
"ÄRKEÄNGELN, PRÄSTERNAS SPEGEL","3d2vqt9816bnr7ss"
"ÅBO NYA TIDNINGAR","kw4vzfhkh91228gm"
"ÅBO TIDNING","lx5w0hcbjdf3vb5r"
"ÅBO TIDNINGAR","p1804nbqmk7mkjg6"
"ÅBY-KLIPPANS TIDNING","5j6ssmht3fmnxtq2"
"ÅBY-ÅSTORPSTIDNINGEN","m0jvllgrk2hm3bwz"
"ÅKERSBERGA KANALEN","15874674"
"ÅMÅLS TIDNING","9n31s2597zpc6nk7"
"ÅMÅLS WECKOBLAD (ÅMÅL : 1846)","p00fm252msz720xz"
"ÅMÅLS WECKOBLAD (ÅMÅL : 1856)","mww9qq0bkql7n5f7"
"ÅMÅLS WECKOBLAD (ÅMÅL : 1866)","r11fvxhbpwznj0th"
"ÅMÅLSPOSTEN","7l1zq3lf51121v40"
"ÅNGAREN","m0mdg5zfk82ddt3l"
"ÅNGBÅTSTIDNINGEN, UTGIFVEN AV AFTONBLADET","4h4wzqtg2wgndrh7"
"ÅNGERMANLANDS TIDNING","fskf9bt6cbw46ld8"
"ÅSBO HÄRADERS TIDNING","8mjdvkl665kg979n"
"ÅSTORPSPOSTEN SKÅNE-SMÅLAND","cn5m60nh9nmvh8vq"
"ÖFRE STOCKHOLM","4dfmc3w12w0x3pm4"
"ÖLANDS TIDNING (KALMAR : 1881)","22692486"
"ÖLANDSBLADET","15874682"
"ÖLANDSPOSTEN","22692490"
"ÖREBRO AFTONBLAD","22692493"
"ÖREBRO DAGBLAD","22692498"
"ÖREBRO LÄNS TIDNING","22692501"
"ÖREBRO MARKNADSTIDNINGAR","22692504"
"ÖREBRO NYA TIDNING","22692517"
"ÖREBRO STADS VECKOTIDNING","22692507"
"ÖREBRO TIDNING (ÖREBRO : 1806)","22692519"
"ÖREBRO TIDNING (ÖREBRO : 1856)","22692522"
"ÖREBRO TIDNING (ÖREBRO : 1881)","22692524"
"ÖREBRO TIDNING HALFVECKOUPPLAGAN","22692531"
"ÖREBRO TIDNING VECKOUPPLAGAN","22692535"
"ÖREBRO WECKOBLAD (ÖREBRO : 1784)","22692509"
"ÖREBRO WECKOBLAD (ÖREBRO : 1793)","22692514"
"ÖREBROAR'N","15874683"
"ÖREBROKURIREN (1902)","22692541"
"ÖRESUNDSBLADET","w8xjjfkgt1x4msg4"
"ÖRESUNDSPOSTEN (HELSINGBORG : 1842)","7mr9l9qp56ddqjlw"
"ÖRESUNDSPOSTEN (HELSINGBORG : 1847)","frw7sd3hcl0kg11f"
"ÖRNSKÖLDSVIKS ALLEHANDA","15874782"
"ÖRNSKÖLDSVIKS ALLEHANDA VECKOUPPLAGA","9qfvxlc87bl36mjx"
"ÖRNSKÖLDSVIKS NYHETER","9klb2fkz771vzbkr"
"ÖRNSKÖLDSVIKS TIDNING (HÄRNÖSAND : 1890)","w56xn4fjtstn160r"
"ÖRNSKÖLDSVIKS TIDNING (ÖRNSKÖLDSVIK : 1879)","dnpf5qllb40qcfct"
"ÖRNSKÖLDSVIKSPOSTEN","8jk91p6n6r3x29zg"
"ÖSTERGYLLEN","09s8tp7lxf0w3zgp"
"ÖSTERGÖTLAND (LINKÖPING : 1879)","22674942"
"ÖSTERGÖTLANDS ALLEHANDA (MOTALA : 1893)","22675033"
"ÖSTERGÖTLANDS ALLEHANDA (NORRKÖPING : 1879)","22674956"
"ÖSTERGÖTLANDS ANNONSBLAD","22675052"
"ÖSTERGÖTLANDS DAGBLAD","22675093"
"ÖSTERGÖTLANDS FOLKBLAD","22675244"
"ÖSTERGÖTLANDS LÄNS TIDNING","22675313"
"ÖSTERGÖTLANDS NYA TIDNING","22675371"
"ÖSTERGÖTLANDS NYHETER","22675376"
"ÖSTERGÖTLANDS TIDNING","22675380"
"ÖSTERGÖTLANDS VECKOBLAD","11653836"
"ÖSTERGÖTLANDS-SÖDERMANLANDS ANNONSBLAD","22679938"
"ÖSTERLENMAGASINET","15650833"
"ÖSTERMALMDIREKT","2cd7qgz307wz9ccn"
"ÖSTERMALMS ANNONSTIDNING","22680016"
"ÖSTERMALMSNYTT","15874980"
"ÖSTERSUNDSPOSTEN","15875013"
"ÖSTGÖTA CORRESPONDENTEN","15875027"
"ÖSTGÖTA PATRIOTEN","22680129"
"ÖSTGÖTABLADET","22680068"
"ÖSTGÖTAKURIREN (VADSTENA : 1883)","22680106"
"ÖSTGÖTAPOSTEN","11653838"
"ÖSTGÖTATIDNINGEN (MJÖLBY : 2016)","19573506"
"ÖSTGÖTEN (LINKÖPING : 1874)","22680201"
"ÖSTGÖTHA GAZETTEN","22680298"
"ÖSTGÖTHA TIDNING","22680332"
"ÖSTHAMMARS NYHETER","15875042"
"ÖSTHAMMARS TIDNING (1887)","22680335"
"ÖSTKUSTEN","22680341"
"ÖSTRA SMÅLAND (2014)","17124421"
"ÖSTRA WESTMANLAND","22680345"
"ÖSTRAN","15875048"
